700 475
4 93 159
16 93 163
10 95 160
19 99 162
13 99 160
21 99 163
24 99 157
29 103 164
35 104 163
47 109 166
58 113 169
72 118 177
86 128 178
104 143 186
115 146 192
127 152 192
130 155 196
126 153 196
112 147 189
89 129 181
70 119 177
50 110 170
35 106 170
26 100 165
28 99 161
14 97 165
4 98 162
19 98 164
19 98 164
25 99 164
22 100 164
9 98 164
14 99 166
7 99 164
7 99 166
20 101 167
24 104 165
35 105 167
36 106 168
30 105 170
32 106 167
38 106 169
37 106 171
40 105 171
34 108 169
40 105 169
42 106 168
29 107 171
25 105 166
25 103 169
20 101 167
16 104 168
21 102 168
7 102 168
10 102 165
21 104 172
27 105 171
20 108 171
24 105 170
26 105 172
33 101 176
34 105 169
22 107 171
35 106 170
38 109 175
36 110 173
46 110 174
58 118 178
78 127 183
98 133 187
117 148 195
134 164 200
143 172 204
149 172 204
149 172 203
156 176 209
166 186 213
168 188 213
161 185 211
151 171 206
131 159 196
109 151 191
95 141 190
84 134 183
84 131 185
71 128 181
67 126 184
66 117 180
50 116 176
38 112 175
35 110 175
25 108 174
28 108 171
37 107 176
28 107 176
24 108 178
25 110 174
30 110 173
24 109 174
32 110 174
30 108 174
28 112 174
28 106 178
13 111 176
22 110 174
14 109 175
22 109 176
23 107 179
25 108 178
7 108 176
8 109 179
6 111 179
20 109 175
29 110 176
23 111 175
27 109 182
29 112 178
30 110 181
28 114 175
13 112 179
22 111 179
43 114 180
66 122 183
69 124 181
67 123 182
55 120 184
33 114 180
43 117 182
44 115 181
38 116 182
41 120 179
49 123 188
53 122 189
64 126 185
68 131 185
87 138 193
114 153 196
121 154 199
116 150 196
116 153 198
121 155 200
126 157 201
144 170 207
169 189 214
183 200 216
196 209 226
199 212 229
205 213 232
203 217 228
208 216 229
210 220 230
207 214 232
205 214 229
202 211 228
196 209 226
186 203 223
182 198 223
168 188 213
164 185 212
169 188 218
172 189 215
174 191 217
173 191 215
173 191 215
174 191 217
168 187 217
168 187 217
167 187 214
167 184 212
164 185 212
164 185 214
164 184 211
161 184 215
161 185 213
176 193 219
185 202 220
176 192 217
166 185 217
168 188 215
173 191 213
179 195 220
172 194 217
146 175 207
130 163 206
136 166 204
136 168 206
137 166 206
133 165 204
111 155 200
90 143 197
80 139 197
78 137 193
88 141 193
86 143 196
76 138 195
76 137 192
72 134 195
61 132 194
55 131 193
58 129 191
55 129 190
54 132 194
55 129 192
56 130 191
53 131 195
66 137 193
69 135 195
66 135 194
69 134 192
65 135 195
72 139 194
78 137 193
78 138 198
71 137 197
94 146 196
125 164 205
113 156 201
98 148 197
92 148 199
89 144 201
79 142 196
83 143 197
74 138 200
66 136 198
73 135 192
71 137 197
70 141 197
79 140 195
83 146 199
88 143 197
91 143 200
88 145 200
92 143 198
76 143 198
79 141 198
88 142 202
92 144 201
89 146 199
85 141 200
79 144 202
77 142 196
76 142 200
77 142 196
73 141 202
78 143 199
78 143 197
88 145 198
101 152 199
108 154 203
96 152 203
79 147 196
80 142 201
77 144 199
79 143 204
80 142 201
80 144 205
82 142 202
78 145 197
72 147 202
79 144 202
88 144 201
86 147 202
90 145 202
94 150 199
139 169 203
160 184 210
162 183 212
165 185 210
178 195 211
199 207 218
219 218 223
221 220 226
220 219 224
217 218 222
214 217 222
214 219 222
217 221 222
209 217 220
200 208 219
197 205 218
197 203 217
195 203 216
196 206 216
198 208 218
201 207 219
195 203 216
185 199 212
183 196 213
187 199 215
193 203 215
202 209 219
206 210 219
202 211 218
202 209 217
200 207 217
196 206 216
192 201 216
183 196 212
175 190 211
163 185 208
148 177 209
128 168 204
121 164 206
121 164 206
120 163 205
127 166 205
169 189 213
173 192 209
173 190 210
186 198 214
175 192 210
180 193 210
193 199 211
196 203 213
198 208 210
207 207 215
205 210 214
206 207 211
204 207 212
205 208 215
199 206 212
200 203 212
197 201 212
186 198 212
177 193 206
174 189 208
165 185 209
153 181 205
142 175 206
133 168 206
122 171 203
130 168 207
130 171 203
133 171 208
133 172 205
132 172 207
123 167 206
121 167 203
123 169 205
122 168 204
120 168 204
123 167 202
124 168 203
123 169 205
121 169 207
126 171 202
135 171 207
133 172 203
137 171 206
143 178 200
155 179 207
150 178 202
143 174 203
144 175 204
144 175 206
137 172 202
138 175 204
141 172 201
143 177 202
149 181 204
156 180 204
152 178 201
154 181 200
161 181 205
160 180 204
157 178 205
151 179 203
148 178 204
157 179 202
146 178 203
142 176 201
144 175 203
145 177 200
149 179 205
147 179 202
141 175 200
137 177 203
140 176 202
145 176 204
148 180 203
155 180 202
156 183 200
149 177 201
153 177 201
149 176 203
147 179 200
154 176 200
152 179 200
148 178 204
147 177 203
151 179 201
150 178 200
153 179 204
153 180 199
150 176 199
153 183 207
148 167 174
126 128 65
137 126 8
140 127 49
139 129 31
146 133 29
130 118 32
126 117 40
123 118 37
134 123 33
136 125 35
121 118 21
140 128 26
132 117 26
118 116 15
129 126 23
148 141 51
128 122 38
121 117 26
134 127 20
137 127 32
141 125 30
155 138 66
131 121 36
147 131 43
152 134 52
132 122 27
135 131 40
127 118 27
138 128 30
132 117 34
118 112 24
125 124 31
144 135 42
139 119 32
125 117 36
144 132 48
146 134 58
106 98 23
140 122 48
161 142 47
153 131 45
128 119 28
137 125 13
116 122 14
138 128 31
136 124 38
136 127 36
128 118 3
113 111 10
121 114 26
126 117 22
118 116 15
111 112 18
117 112 18
100 102 18
125 121 24
134 129 35
119 111 10
131 124 18
139 129 34
154 139 48
130 114 16
95 100 0
96 100 6
118 107 18
134 125 20
121 118 15
122 115 25
104 111 8
112 110 10
131 124 34
127 120 32
118 116 31
141 126 35
129 126 29
136 133 40
127 124 19
131 128 21
2 94 161
11 96 160
15 95 164
18 96 162
10 99 165
23 102 161
27 103 161
26 102 162
37 106 163
50 110 172
61 116 172
75 124 180
87 131 180
95 138 181
114 146 187
121 149 189
128 153 193
128 156 196
116 145 189
98 131 182
68 119 172
44 110 168
36 107 169
29 100 164
16 100 162
5 100 166
14 97 163
13 99 160
15 98 166
21 100 166
25 99 162
15 98 166
11 99 163
12 96 166
0 99 166
21 100 166
32 103 167
30 105 170
40 105 171
39 109 171
25 107 167
38 103 167
40 103 170
33 108 166
40 105 171
42 108 166
41 106 174
30 108 172
33 107 168
23 104 167
14 103 169
14 104 167
5 103 168
12 101 167
11 104 165
26 104 168
27 107 170
29 104 169
26 105 171
17 104 171
22 103 169
24 105 171
30 105 170
37 107 176
38 107 174
44 107 176
48 112 173
58 118 178
71 121 180
88 134 186
120 151 195
134 162 202
140 166 203
148 171 203
156 172 206
156 177 208
165 180 213
168 190 213
167 184 212
154 172 208
129 159 197
112 149 191
101 143 191
92 136 185
78 131 185
74 129 185
66 128 185
58 121 175
47 117 179
39 110 174
40 111 177
31 112 175
29 108 177
23 108 172
28 108 177
24 107 173
27 108 173
22 110 174
31 110 177
24 107 173
17 111 173
26 110 174
34 112 178
18 107 175
29 106 178
25 110 177
11 110 177
27 110 176
26 109 175
20 109 175
22 109 178
18 110 175
29 109 178
25 108 176
19 111 178
23 110 181
17 112 176
21 110 178
27 112 179
23 112 178
21 110 180
50 115 179
74 124 185
66 129 183
66 126 186
43 117 180
41 116 181
45 114 181
44 114 183
34 115 180
50 118 183
58 122 186
57 127 186
66 128 185
73 132 192
89 140 193
111 152 198
107 147 196
102 144 192
108 150 198
114 152 199
125 158 201
144 170 207
166 186 213
179 195 218
193 206 223
200 211 229
201 213 227
204 213 230
209 219 231
211 219 232
207 216 231
201 213 227
203 212 229
197 210 226
187 204 222
177 193 218
166 186 213
165 186 213
170 189 219
171 191 216
173 193 218
177 194 220
173 193 217
174 190 216
171 188 214
172 187 216
169 186 214
169 186 214
168 187 217
167 187 214
163 182 212
162 186 214
164 185 216
176 194 218
185 202 222
177 194 220
165 186 217
166 187 214
171 188 214
178 196 218
172 194 218
147 176 210
130 163 206
133 167 204
135 167 206
132 164 202
138 165 208
114 157 200
97 144 200
81 137 196
79 135 194
78 139 194
80 141 196
78 137 195
68 134 192
70 134 195
63 131 194
62 130 191
61 129 194
57 127 196
55 129 192
57 131 192
59 128 197
60 131 193
64 134 193
74 134 197
65 137 195
64 135 191
62 134 193
66 135 192
75 142 197
75 133 196
73 140 195
91 144 198
123 161 206
113 157 202
87 142 196
97 148 201
99 149 200
81 144 198
82 141 197
72 138 196
69 142 197
77 136 194
70 136 197
68 139 195
77 139 198
82 141 197
84 145 199
86 145 201
86 143 198
89 142 196
76 141 197
80 141 196
86 141 198
81 147 199
85 145 199
82 143 200
81 144 198
81 143 200
83 142 200
77 144 199
75 142 197
77 143 201
82 145 199
90 148 198
104 151 203
107 153 202
100 152 202
83 149 201
83 144 201
81 143 202
86 142 201
80 145 201
79 146 201
79 144 200
83 144 201
82 144 201
80 145 199
82 147 201
89 145 202
82 144 203
89 146 201
134 169 207
161 185 209
163 183 208
171 189 213
184 197 213
204 210 222
215 215 223
221 222 227
219 220 225
218 217 222
214 218 221
217 218 220
218 219 221
210 213 220
198 206 219
198 204 218
198 204 218
194 204 216
191 203 215
197 207 219
200 206 218
198 206 219
187 199 215
181 194 213
183 199 215
196 206 216
199 208 217
204 211 221
201 210 215
203 210 216
200 209 218
198 204 216
187 201 214
180 196 212
174 191 209
165 185 212
148 179 208
131 170 209
118 166 204
121 166 207
114 163 204
129 169 205
179 194 213
179 192 208
180 196 212
186 195 212
173 190 208
180 192 214
196 203 211
201 206 210
204 207 214
207 207 215
205 210 216
207 207 215
205 206 210
203 206 211
203 206 211
204 204 212
196 202 214
189 199 209
178 194 210
177 190 209
166 187 208
154 181 208
142 175 206
131 171 206
129 168 207
131 169 205
130 168 205
128 171 203
136 172 206
136 172 206
119 167 205
119 167 203
122 167 206
125 168 203
123 169 203
122 168 204
121 170 203
120 169 202
124 170 204
129 172 206
134 173 204
135 171 207
136 172 204
145 176 204
154 180 203
153 179 202
142 176 203
146 175 205
149 172 204
137 173 205
134 170 202
139 176 203
147 177 203
152 180 202
158 180 203
158 180 201
159 180 201
161 183 204
159 179 204
151 177 202
148 178 204
145 176 204
152 178 201
148 178 202
145 176 204
141 175 200
141 175 202
146 176 200
147 179 204
142 176 203
141 177 203
141 177 203
141 175 200
146 176 204
160 180 204
154 179 201
150 181 202
152 180 201
148 179 200
146 176 202
151 177 204
151 179 203
147 180 199
152 178 201
146 179 198
151 177 204
151 177 200
149 180 201
145 175 201
158 182 206
141 160 167
125 118 37
127 114 9
129 117 45
144 134 37
155 145 47
140 125 40
120 111 34
127 113 38
128 122 28
132 126 30
128 122 24
142 132 34
149 132 54
124 118 22
140 129 37
141 130 40
126 118 33
139 128 48
141 131 42
150 136 47
150 136 47
144 137 47
134 126 41
127 117 20
138 123 28
160 144 48
131 124 33
128 122 28
143 131 33
124 114 43
106 99 21
152 151 43
140 133 27
139 124 41
136 120 43
135 125 36
105 97 24
107 92 27
140 137 58
140 127 33
152 132 46
152 123 55
136 119 41
112 110 1
135 128 22
130 116 28
126 116 27
127 120 16
128 118 23
121 116 25
134 124 37
122 115 27
113 112 4
115 120 17
125 120 20
117 113 22
124 117 29
129 122 34
129 126 33
135 124 35
114 102 18
126 118 35
124 120 33
109 109 11
111 110 2
107 113 5
100 106 10
113 117 7
103 109 13
113 114 10
136 128 45
123 129 43
133 132 39
124 121 16
141 140 47
141 135 41
130 125 23
132 126 32
11 95 157
19 94 159
21 96 161
28 99 165
30 102 161
29 100 162
27 102 160
29 103 168
49 108 168
60 112 170
69 120 175
77 122 177
86 133 177
99 140 184
107 145 190
111 148 190
124 152 191
127 155 195
115 153 192
96 132 182
72 124 172
53 113 173
40 109 168
28 104 166
18 102 166
19 98 167
9 98 164
10 99 167
16 100 162
27 100 169
18 97 164
10 100 163
11 101 164
6 98 165
16 99 165
21 99 165
21 105 169
36 106 168
32 108 166
38 106 167
35 106 170
38 103 167
38 109 171
40 105 171
45 109 171
45 106 171
35 110 168
31 109 173
34 105 169
25 105 166
25 103 169
17 100 170
13 103 166
18 101 167
18 104 165
22 103 166
18 106 170
24 105 171
21 105 169
19 104 168
24 104 173
21 105 165
27 106 175
29 107 173
37 108 174
46 107 170
43 113 173
53 118 176
67 118 181
81 131 180
114 148 193
131 163 201
139 163 201
143 169 202
153 176 207
155 173 209
156 180 208
167 187 214
168 185 211
152 175 207
134 162 201
114 151 195
104 148 193
93 136 191
83 130 182
75 125 184
75 124 183
64 120 179
51 117 177
40 114 177
32 110 174
35 112 180
27 106 172
21 109 172
22 105 173
24 109 176
19 108 174
25 108 174
33 110 178
24 107 173
20 111 181
28 107 174
25 108 174
20 107 176
27 112 179
23 108 175
30 108 172
23 108 173
29 112 178
21 111 171
26 111 176
24 111 178
20 109 175
23 110 179
23 112 182
18 109 179
31 110 179
27 111 181
28 113 180
32 111 177
28 108 179
41 117 177
67 126 184
73 125 183
69 129 189
48 122 183
45 116 180
44 114 183
43 113 182
30 118 181
42 121 180
58 123 189
59 124 188
73 127 187
82 131 187
95 142 194
105 146 198
91 141 194
91 141 194
102 148 197
105 149 196
119 156 201
142 167 207
159 180 209
174 190 216
192 205 224
200 211 229
204 212 225
200 213 229
208 216 229
211 219 232
205 214 229
202 214 230
202 214 228
204 213 228
193 204 222
174 191 217
164 183 213
169 189 216
170 190 215
175 193 217
176 192 218
175 193 217
171 191 216
175 193 217
172 192 217
168 190 214
168 189 216
169 186 214
170 187 215
167 186 216
164 184 211
164 185 216
166 186 213
174 191 217
184 201 221
178 196 220
165 185 212
164 185 214
167 187 212
178 196 220
173 193 217
149 178 212
133 166 207
128 166 203
129 167 206
137 166 206
131 166 206
117 153 201
93 144 199
81 135 197
74 134 194
81 137 194
82 143 197
82 134 192
73 135 194
70 134 195
65 135 197
59 130 192
54 128 193
56 129 197
52 130 192
58 129 195
57 131 192
58 129 195
58 132 193
63 133 192
68 136 197
56 135 192
67 133 194
58 137 194
73 138 196
75 137 194
79 135 192
85 142 197
118 156 203
128 166 202
93 148 202
95 146 199
92 150 196
86 145 201
79 140 195
76 137 202
72 138 198
68 139 195
67 136 195
68 137 194
67 138 194
78 143 201
80 142 199
84 143 199
81 144 197
83 144 198
77 142 200
79 139 199
80 141 198
84 145 199
86 146 200
81 144 198
77 142 196
79 141 198
80 141 198
77 142 196
74 143 202
78 143 197
83 146 200
94 146 203
96 149 199
101 153 200
100 150 201
93 148 202
82 142 202
74 143 198
83 145 202
80 146 198
85 144 200
77 143 201
79 146 199
87 143 202
76 145 200
81 148 203
77 146 201
84 147 200
73 142 199
115 159 204
157 183 210
167 185 209
175 191 214
191 203 219
199 205 217
210 213 220
217 218 223
219 220 225
217 218 222
218 217 222
218 219 221
218 217 222
207 211 220
199 205 219
198 204 218
196 206 216
195 203 216
195 205 217
195 203 216
200 206 218
198 206 217
189 201 215
178 194 210
180 197 213
195 203 214
201 208 216
200 207 217
202 211 218
200 207 213
202 211 218
200 204 216
188 200 214
179 196 212
173 188 211
165 185 210
150 176 209
131 171 207
119 164 205
122 165 207
114 162 202
138 173 211
189 199 211
188 200 216
185 197 211
177 194 210
172 188 204
176 193 213
195 204 211
204 207 214
209 209 211
205 210 213
210 209 217
206 209 214
206 206 214
206 207 212
205 206 211
203 206 213
196 205 212
190 197 213
181 193 205
176 189 208
164 184 209
154 180 205
146 175 205
134 174 209
127 171 206
131 171 207
132 170 206
129 169 204
134 173 206
136 170 205
121 167 203
122 168 204
119 169 204
123 169 203
124 168 203
124 168 205
122 170 206
119 169 204
128 168 203
129 172 204
136 172 208
132 173 201
138 172 209
144 178 203
155 179 205
154 180 203
145 175 199
148 178 206
146 176 204
135 171 203
133 174 204
139 174 202
146 176 204
153 179 204
156 181 203
157 182 202
164 185 206
164 180 203
152 180 202
150 178 200
149 176 203
146 178 203
150 178 202
149 179 205
142 176 203
143 174 203
146 177 205
146 178 203
147 179 204
140 173 204
139 176 205
141 179 202
140 177 203
147 179 200
160 181 202
158 180 203
150 176 199
151 179 203
152 178 205
147 177 203
156 178 202
151 178 199
145 176 204
149 180 201
151 177 202
154 179 201
152 178 203
147 179 200
150 178 202
153 180 209
144 154 155
129 112 6
138 129 50
130 120 48
136 128 30
155 144 62
147 135 53
143 133 64
144 135 60
136 127 34
134 129 37
131 128 33
132 130 21
142 130 30
138 131 27
152 142 45
127 126 34
113 111 26
153 135 51
159 149 54
140 129 39
125 111 36
123 120 41
117 113 24
123 119 22
135 119 23
170 145 53
130 120 25
130 123 17
127 125 24
112 104 29
112 114 15
143 136 32
122 112 15
142 125 47
134 117 48
127 119 38
131 113 39
154 133 50
135 119 31
115 114 24
150 131 52
160 127 56
137 116 37
139 129 32
125 121 14
115 111 11
125 119 23
132 129 32
131 121 24
122 114 5
132 124 43
125 114 35
113 106 0
121 118 15
123 120 27
101 99 0
110 106 17
136 136 46
128 123 31
112 102 4
111 102 25
124 117 39
120 115 31
100 105 2
112 119 7
133 122 33
122 122 26
111 112 10
115 116 23
113 112 4
123 122 30
125 123 36
118 113 11
138 126 42
147 133 44
137 129 22
138 128 33
137 126 34
11 95 159
22 98 158
29 98 165
26 102 164
19 97 163
29 98 165
33 103 165
38 104 165
50 108 172
60 115 179
64 114 173
71 117 169
86 126 178
98 135 180
109 144 186
115 150 192
120 152 193
126 154 194
117 150 193
90 137 181
76 122 181
64 119 175
49 107 171
29 105 167
19 100 163
14 99 164
16 101 168
19 99 158
20 99 166
7 101 163
10 102 167
21 99 165
17 98 164
9 98 164
19 100 166
17 102 167
22 99 167
25 103 165
33 109 167
34 109 167
34 110 170
33 109 167
37 105 170
38 110 169
39 108 173
43 113 173
36 107 169
34 108 169
22 108 169
28 107 166
27 105 169
23 103 166
26 104 170
23 102 168
20 100 169
15 102 169
4 102 167
22 107 174
19 104 168
26 105 174
16 106 168
6 104 165
25 106 169
38 105 173
40 110 172
38 108 177
45 110 174
54 116 177
61 117 178
86 128 186
113 146 191
127 159 198
138 161 202
142 168 201
149 172 206
155 176 205
156 177 208
168 185 211
168 183 214
152 178 205
134 162 202
124 153 195
110 144 192
98 140 188
86 132 191
74 129 185
69 125 184
62 122 176
58 118 178
45 110 174
33 111 173
32 109 177
19 111 174
21 111 174
26 110 180
32 106 179
25 109 179
26 106 175
18 110 173
22 109 178
25 110 174
18 110 175
18 110 173
24 112 175
17 109 174
30 110 179
30 109 176
19 112 173
11 111 173
21 110 178
27 111 175
13 110 178
20 112 179
25 110 175
1 110 179
24 111 178
30 110 181
23 112 178
22 112 175
38 113 178
32 111 180
33 114 179
63 125 186
78 133 189
77 136 192
52 122 182
53 118 186
44 114 183
32 115 181
38 116 182
49 120 182
53 123 185
61 126 190
73 129 188
89 134 191
101 144 195
100 146 195
89 138 194
89 138 194
98 144 193
103 147 194
114 150 200
133 162 204
149 176 206
166 188 212
186 204 226
199 210 228
201 212 230
202 212 222
206 215 230
211 217 229
205 212 230
202 214 230
204 216 230
202 212 224
196 208 224
176 194 218
169 189 216
169 189 214
171 191 216
176 196 220
173 191 215
172 192 217
174 192 216
173 190 216
173 191 215
171 191 216
171 188 214
169 189 214
169 186 214
165 185 212
165 186 215
168 188 215
171 188 218
175 191 216
186 201 222
181 198 218
169 186 216
166 186 211
169 189 216
177 193 218
174 194 219
153 180 209
133 167 205
133 166 207
130 164 202
131 169 208
137 167 205
117 158 204
95 145 198
77 139 198
75 135 195
79 140 195
82 142 196
84 135 198
74 135 190
67 136 195
62 130 191
55 131 193
50 132 190
54 130 190
51 131 192
51 129 191
50 132 192
52 130 192
53 131 197
59 134 191
69 135 195
62 133 197
65 134 193
66 132 193
72 137 193
71 138 193
66 137 193
84 140 197
112 155 200
130 165 205
115 156 202
87 144 197
96 149 199
89 145 196
91 141 202
74 136 197
76 136 196
72 138 198
68 137 194
71 137 197
74 138 199
69 139 198
79 141 200
82 143 198
80 143 197
81 141 201
80 140 200
74 141 196
84 140 199
84 143 199
86 146 198
77 142 198
78 140 199
76 141 199
76 141 195
71 143 202
77 143 195
76 142 200
82 143 200
87 147 197
93 148 204
101 155 202
101 155 202
96 148 205
79 144 200
74 144 204
79 144 200
82 147 205
80 145 203
82 144 203
84 143 203
84 147 198
84 142 205
78 145 200
86 147 204
85 146 201
78 147 202
99 150 203
149 178 210
174 190 215
177 192 215
187 199 215
200 208 219
211 214 221
220 221 223
220 221 225
217 218 222
214 219 222
216 219 224
213 218 222
206 210 221
198 206 219
202 206 218
197 206 215
197 205 216
198 206 217
198 206 217
195 204 213
197 205 216
189 201 215
179 196 212
180 196 212
188 200 212
203 205 217
205 208 217
202 209 219
201 210 215
199 206 212
197 205 216
192 201 216
181 194 211
173 189 212
162 182 207
147 178 209
132 170 207
120 165 204
122 164 206
119 164 205
139 172 205
191 204 221
194 200 212
178 195 213
178 192 205
175 190 209
180 193 210
195 201 213
208 209 214
212 212 214
209 211 210
206 210 211
206 209 214
206 209 214
207 207 217
205 206 211
201 206 210
201 205 216
195 202 210
188 193 212
177 190 209
165 185 209
153 180 209
147 176 206
137 173 205
126 170 207
133 172 203
133 171 210
133 172 203
128 171 205
135 171 207
124 168 205
125 167 205
123 167 202
121 169 205
123 169 205
123 169 203
126 170 207
126 168 206
127 170 205
129 169 205
137 172 204
138 171 204
137 174 203
144 178 206
154 182 204
153 179 204
144 176 201
145 176 204
144 175 203
141 174 205
133 172 201
139 174 202
143 177 204
153 179 204
156 183 202
165 183 205
167 182 203
158 183 205
153 180 201
150 177 204
150 177 204
142 176 203
146 176 200
149 179 205
145 177 202
144 175 204
145 176 204
142 176 201
146 177 205
143 174 205
143 177 204
143 175 200
143 177 204
144 179 201
156 180 204
152 178 201
148 179 200
147 179 202
152 178 201
151 178 207
149 180 201
148 180 205
148 176 198
150 178 200
149 180 201
149 179 203
152 180 204
149 179 203
152 178 201
157 184 203
140 149 146
125 108 0
134 128 42
130 118 44
135 125 40
131 125 31
134 122 40
133 127 49
140 126 51
136 125 46
129 126 23
129 132 27
152 149 52
140 133 29
150 139 31
164 150 53
146 139 49
127 119 34
165 143 57
172 153 61
154 137 49
110 110 10
105 108 27
134 123 41
126 122 22
128 119 26
153 134 40
142 129 33
126 128 21
124 122 9
105 100 0
136 131 37
134 131 34
133 124 33
149 134 43
141 123 39
